Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"05/01/2015","107 SALMONVIEW APARTMENTS, BARRET STREET, BALLINA","","Mayo","€55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","11 Drumcrest, Knock","","Mayo","€31,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2015","9 ERRIS GARDENS, CROSSMOLINA, MAYO","","Mayo","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","93 NEW STREET, BALLINROBE, COUNTY MAYO","","Mayo","€57,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","DOUGHMAKEON, LOUISBURGH, CO MAYO","","Mayo","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","4 Belleek Manor, Ballina","","Mayo","€269,164.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","Ballybrehoney, Claremorris","","Mayo","€15,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","LOW VALLEY, CROSSMOLINA, CO MAYO","","Mayo","€45,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","SLIEVEMORE ROAD, DUGORT, ACHILL","","Mayo","€105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2015","CARRABAWN, WESTPORT, CO MAYO","","Mayo","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2015","TUBBERMORE, CROSSMOLINA, CO MAYO","","Mayo","€35,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2015","23 SPRINGDALE, CLAREMORRIS, CO MAYO","","Mayo","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2015","Belderrig Mor, Belderrig, Ballina","","Mayo","€68,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2015","HAWTHORN HILL RD, FOXFORD, MAYO","","Mayo","€82,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2015","1 Cedar Court  Cedar Park, Newport Road, Westport","","Mayo","€210,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/01/2015","15 Cedat Court, Cedar Park, Newport Road Westport","","Mayo","€185,022.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/01/2015","33 FORTLANDS, CASTLEBAR, MAYO","","Mayo","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2015","APT 1, ALTAMOUNT ST, WESTPORT","","Mayo","€77,642.27","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2015","CONVENT RD, CLAREMORRIS, MAYO","","Mayo","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2015","Interest in 286 Student Residences, Mayor Street Lower","","Mayo","€6,986,194.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"12/01/2015","CURRAMORE, BALLINROBE, CO MAYO","","Mayo","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2015","DRUMSHIEL LOWER, CONG","","Mayo","€92,511.01","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"13/01/2015","17 ARD CLÁR, BALLINDINE ROAD, CLAREMORRIS","","Mayo","€116,000.00","No","No","Second-Hand Dwelling house /Apartment",""
